case,T,J,value
baseline,T1258,HR_M-far,0.01501616766467066
baseline,T1258,HR_L-near,0.0135661347038139
baseline,T1258,HR_L-far,0.0135661347038139
baseline,T1378,CHP_coal,0.5880362264150943
baseline,T1378,CHP_muniwaste,0.19480901077375123
baseline,T1378,CHP_natgas,0.5510247349823321
baseline,T1378,HOB_elec,0.07574343434343435
baseline,T1378,HOB_gasoil,0.2589902912621359
baseline,T1378,HOB_muniwaste,0.14488636363636362
baseline,T1378,HOB_natgas,0.1974757281553398
baseline,T1378,HP_ambient,0.03274497816593887
baseline,T1378,HP_industry,0.02629242636746143
baseline,T1378,HR_S-near,0.02493714665779847
baseline,T1378,HR_S-far,0.02493714665779847
baseline,T1378,HR_M-near,0.022244437852269355
baseline,T1378,HR_M-far,0.022244437852269355
baseline,T1378,HR_L-near,0.020098097024926292
baseline,T1378,HR_L-far,0.020098097024926292
baseline,T1498,CHP_coal,0.5880362264150943
baseline,T1498,CHP_muniwaste,0.19480901077375123
baseline,T1498,CHP_natgas,0.5510247349823321
baseline,T1498,HOB_elec,0.01824444444444445
baseline,T1498,HOB_gasoil,0.2589902912621359
baseline,T1498,HOB_muniwaste,0.14488636363636362
baseline,T1498,HOB_natgas,0.1974757281553398
baseline,T1498,HP_ambient,0.007808906182447038
baseline,T1498,HP_industry,0.006333099579242637
baseline,T1498,HR_S-near,0.006006651147322913
baseline,T1498,HR_S-far,0.006006651147322913
baseline,T1498,HR_M-near,0.005358053989913973
baseline,T1498,HR_M-far,0.005358053989913973
baseline,T1498,HR_L-near,0.0048410613776467435
baseline,T1498,HR_L-far,0.0048410613776467435
baseline,T1618,CHP_coal,0.5880362264150943
baseline,T1618,CHP_muniwaste,0.19480901077375123
baseline,T1618,CHP_natgas,0.5510247349823321
baseline,T1618,HOB_elec,0.13304848484848486
baseline,T1618,HOB_gasoil,0.2589902912621359
baseline,T1618,HOB_muniwaste,0.14488636363636362
baseline,T1618,HOB_natgas,0.1974757281553398
baseline,T1618,HP_ambient,0.05882894149173739
baseline,T1618,HP_industry,0.04618443197755961
baseline,T1618,HR_S-near,0.04380379115397406
baseline,T1618,HR_S-far,0.04380379115397406
