case,T,J,value
baseline,T1498,HP_industry,0.3506311360448808
baseline,T1498,HR_S-near,0.3325573661456601
baseline,T1498,HR_S-far,0.3325573661456601
baseline,T1498,HR_M-near,0.29664787896766537
baseline,T1498,HR_M-far,0.29664787896766537
baseline,T1498,HR_L-near,0.2680246582685607
baseline,T1498,HR_L-far,0.2680246582685607
baseline,T1618,CHP_biofuel,2.0969560315670797
baseline,T1618,CHP_coal,1.7358490566037734
baseline,T1618,CHP_muniwaste,1.2732615083251715
baseline,T1618,CHP_natgas,2.70906949352179
baseline,T1618,CHP_straw,1.453252032520325
baseline,T1618,CHP_w-chip,1.3018322082931535
baseline,T1618,CHP_w-pellet,1.544041450777202
baseline,T1618,CHP_w-waste,1.3018322082931535
baseline,T1618,FF_solar,2.2222222222222223
baseline,T1618,FF_industry,1.0
baseline,T1618,HOB_biofuel,0.970873786407767
baseline,T1618,HOB_elec,1.0101010101010102
baseline,T1618,HOB_gasoil,0.970873786407767
baseline,T1618,HOB_muniwaste,0.9469696969696969
baseline,T1618,HOB_natgas,0.970873786407767
baseline,T1618,HOB_straw,0.970873786407767
baseline,T1618,HOB_w-chip,0.8771929824561404
baseline,T1618,HOB_w-pellet,0.9891196834817014
baseline,T1618,HOB_w-waste,0.8771929824561404
baseline,T1618,HP_ambient,0.44662795891022783
baseline,T1618,HP_industry,0.3506311360448808
baseline,T1618,HR_S-near,0.3325573661456601
baseline,T1618,HR_S-far,0.3325573661456601
baseline,T1618,HR_M-near,0.29664787896766537
baseline,T1618,HR_M-far,0.29664787896766537
baseline,T1618,HR_L-near,0.2680246582685607
baseline,T1618,HR_L-far,0.2680246582685607
baseline,T1738,CHP_biofuel,2.0969560315670797
baseline,T1738,CHP_coal,1.7358490566037734
baseline,T1738,CHP_muniwaste,1.2732615083251715
baseline,T1738,CHP_natgas,2.70906949352179
baseline,T1738,CHP_straw,1.453252032520325
baseline,T1738,CHP_w-chip,1.3018322082931535
baseline,T1738,CHP_w-pellet,1.544041450777202
baseline,T1738,CHP_w-waste,1.3018322082931535
baseline,T1738,FF_solar,2.2222222222222223
baseline,T1738,FF_industry,1.0
baseline,T1738,HOB_biofuel,0.970873786407767
baseline,T1738,HOB_elec,1.0101010101010102
baseline,T1738,HOB_gasoil,0.970873786407767
baseline,T1738,HOB_muniwaste,0.9469696969696969
baseline,T1738,HOB_natgas,0.970873786407767
baseline,T1738,HOB_straw,0.970873786407767
baseline,T1738,HOB_w-chip,0.8771929824561404
baseline,T1738,HOB_w-pellet,0.9891196834817014
baseline,T1738,HOB_w-waste,0.8771929824561404
baseline,T1738,HP_ambient,0.40290088638195
baseline,T1738,HP_industry,0.3473428273706148
baseline,T1738,HR_S-near,0.32916392363396973
baseline,T1738,HR_S-far,0.32916392363396973
baseline,T1738,HR_M-near,0.2937720329024677
baseline,T1738,HR_M-far,0.2937720329024677
baseline,T1738,HR_L-near,0.2653927813163482
baseline,T1738,HR_L-far,0.2653927813163482
baseline,T1858,CHP_biofuel,2.0969560315670797
baseline,T1858,CHP_coal,1.7358490566037734
baseline,T1858,CHP_muniwaste,1.2732615083251715
baseline,T1858,CHP_natgas,2.70906949352179
baseline,T1858,CHP_straw,1.453252032520325
baseline,T1858,CHP_w-chip,1.3018322082931535
baseline,T1858,CHP_w-pellet,1.544041450777202
baseline,T1858,CHP_w-waste,1.3018322082931535
baseline,T1858,FF_solar,2.2222222222222223
baseline,T1858,FF_industry,1.0
baseline,T1858,HOB_biofuel,0.970873786407767
baseline,T1858,HOB_elec,1.0101010101010102
baseline,T1858,HOB_gasoil,0.970873786407767
baseline,T1858,HOB_muniwaste,0.9469696969696969
baseline,T1858,HOB_natgas,0.970873786407767
baseline,T1858,HOB_straw,0.970873786407767
baseline,T1858,HOB_w-chip,0.8771929824561404
baseline,T1858,HOB_w-pellet,0.9891196834817014
baseline,T1858,HOB_w-waste,0.8771929824561404
baseline,T1858,HP_ambient,0.41981528127623846
baseline,T1858,HP_industry,0.34435261707988984
baseline,T1858,HR_S-near,0.3261578604044358
baseline,T1858,HR_S-far,0.3261578604044358
baseline,T1858,HR_M-near,0.2910360884749709
baseline,T1858,HR_M-far,0.2910360884749709
baseline,T1858,HR_L-near,0.26288117770767616
baseline,T1858,HR_L-far,0.26288117770767616
baseline,T1978,CHP_biofuel,2.0969560315670797
baseline,T1978,CHP_coal,1.7358490566037734
baseline,T1978,CHP_muniwaste,1.2732615083251715
baseline,T1978,CHP_natgas,2.70906949352179
baseline,T1978,CHP_straw,1.453252032520325
baseline,T1978,CHP_w-chip,1.3018322082931535
baseline,T1978,CHP_w-pellet,1.544041450777202
baseline,T1978,CHP_w-waste,1.3018322082931535
baseline,T1978,FF_solar,2.2222222222222223
baseline,T1978,FF_industry,1.0
baseline,T1978,HOB_biofuel,0.970873786407767
baseline,T1978,HOB_elec,1.0101010101010102
baseline,T1978,HOB_gasoil,0.970873786407767
baseline,T1978,HOB_muniwaste,0.9469696969696969
baseline,T1978,HOB_natgas,0.970873786407767
baseline,T1978,HOB_straw,0.970873786407767
baseline,T1978,HOB_w-chip,0.8771929824561404
baseline,T1978,HOB_w-pellet,0.9891196834817014
baseline,T1978,HOB_w-waste,0.8771929824561404
baseline,T1978,HP_ambient,0.40551500405515
baseline,T1978,HP_industry,0.34435261707988984
baseline,T1978,HR_S-near,0.3261578604044358
baseline,T1978,HR_S-far,0.3261578604044358
baseline,T1978,HR_M-near,0.2910360884749709
baseline,T1978,HR_M-far,0.2910360884749709
baseline,T1978,HR_L-near,0.26288117770767616
baseline,T1978,HR_L-far,0.26288117770767616
baseline,T2098,CHP_biofuel,2.0969560315670797
baseline,T2098,CHP_coal,1.7358490566037734
baseline,T2098,CHP_muniwaste,1.2732615083251715
baseline,T2098,CHP_natgas,2.70906949352179
baseline,T2098,CHP_straw,1.453252032520325
baseline,T2098,CHP_w-chip,1.3018322082931535
baseline,T2098,CHP_w-pellet,1.544041450777202
baseline,T2098,CHP_w-waste,1.3018322082931535
baseline,T2098,FF_solar,2.2222222222222223
baseline,T2098,FF_industry,1.0
baseline,T2098,HOB_biofuel,0.970873786407767
baseline,T2098,HOB_elec,1.0101010101010102
baseline,T2098,HOB_gasoil,0.970873786407767
baseline,T2098,HOB_muniwaste,0.9469696969696969
baseline,T2098,HOB_natgas,0.970873786407767
baseline,T2098,HOB_straw,0.970873786407767
baseline,T2098,HOB_w-chip,0.8771929824561404
baseline,T2098,HOB_w-pellet,0.9891196834817014
baseline,T2098,HOB_w-waste,0.8771929824561404
baseline,T2098,HP_ambient,0.4242681374628765
baseline,T2098,HP_industry,0.34435261707988984
baseline,T2098,HR_S-near,0.3261578604044358
baseline,T2098,HR_S-far,0.3261578604044358
baseline,T2098,HR_M-near,0.2910360884749709
baseline,T2098,HR_M-far,0.2910360884749709
baseline,T2098,HR_L-near,0.26288117770767616
baseline,T2098,HR_L-far,0.26288117770767616
baseline,T2218,CHP_biofuel,2.0969560315670797
baseline,T2218,CHP_coal,1.7358490566037734
baseline,T2218,CHP_muniwaste,1.2732615083251715
baseline,T2218,CHP_natgas,2.70906949352179
baseline,T2218,CHP_straw,1.453252032520325
baseline,T2218,CHP_w-chip,1.3018322082931535
baseline,T2218,CHP_w-pellet,1.544041450777202
baseline,T2218,CHP_w-waste,1.3018322082931535
baseline,T2218,FF_solar,2.2222222222222223
baseline,T2218,FF_industry,1.0
baseline,T2218,HOB_biofuel,0.970873786407767
baseline,T2218,HOB_elec,1.0101010101010102
baseline,T2218,HOB_gasoil,0.970873786407767
baseline,T2218,HOB_muniwaste,0.9469696969696969
baseline,T2218,HOB_natgas,0.970873786407767
baseline,T2218,HOB_straw,0.970873786407767
baseline,T2218,HOB_w-chip,0.8771929824561404
baseline,T2218,HOB_w-pellet,0.9891196834817014
baseline,T2218,HOB_w-waste,0.8771929824561404
baseline,T2218,HP_ambient,0.43497172683775553
baseline,T2218,HP_industry,0.34118048447628796
baseline,T2218,HR_S-near,0.32310177705977383
baseline,T2218,HR_S-far,0.32310177705977383
baseline,T2218,HR_M-near,0.28826751225136926
baseline,T2218,HR_M-far,0.28826751225136926
baseline,T2218,HR_L-near,0.2604166666666667
baseline,T2218,HR_L-far,0.2604166666666667
baseline,T2338,CHP_biofuel,2.0969560315670797
baseline,T2338,CHP_coal,1.7358490566037734
baseline,T2338,CHP_muniwaste,1.2732615083251715
baseline,T2338,CHP_natgas,2.70906949352179
baseline,T2338,CHP_straw,1.453252032520325
baseline,T2338,CHP_w-chip,1.3018322082931535
baseline,T2338,CHP_w-pellet,1.544041450777202
baseline,T2338,CHP_w-waste,1.3018322082931535
baseline,T2338,FF_solar,2.2222222222222223
baseline,T2338,FF_industry,1.0
baseline,T2338,HOB_biofuel,0.970873786407767
baseline,T2338,HOB_elec,1.0101010101010102
baseline,T2338,HOB_gasoil,0.970873786407767
baseline,T2338,HOB_muniwaste,0.9469696969696969
baseline,T2338,HOB_natgas,0.970873786407767
baseline,T2338,HOB_straw,0.970873786407767
baseline,T2338,HOB_w-chip,0.8771929824561404
baseline,T2338,HOB_w-pellet,0.9891196834817014
baseline,T2338,HOB_w-waste,0.8771929824561404
baseline,T2338,HP_ambient,0.4048582995951417
baseline,T2338,HP_industry,0.34118048447628796
baseline,T2338,HR_S-near,0.32310177705977383
baseline,T2338,HR_S-far,0.32310177705977383
baseline,T2338,HR_M-near,0.28826751225136926
baseline,T2338,HR_M-far,0.28826751225136926
baseline,T2338,HR_L-near,0.2604166666666667
baseline,T2338,HR_L-far,0.2604166666666667
