case,T,J,level
policy,T3658,HR_L-far,0.0
policy,T3778,HR_S-near,0.0
policy,T3778,HR_S-far,0.0
policy,T3778,HR_M-near,0.0
policy,T3778,HR_M-far,0.0
policy,T3778,HR_L-near,0.0
policy,T3778,HR_L-far,0.0
policy,T3898,HR_S-near,0.0
policy,T3898,HR_S-far,0.0
policy,T3898,HR_M-near,0.0
policy,T3898,HR_M-far,0.0
policy,T3898,HR_L-near,0.0
policy,T3898,HR_L-far,0.0
policy,T4018,HR_S-near,0.0
policy,T4018,HR_S-far,0.0
policy,T4018,HR_M-near,0.0
policy,T4018,HR_M-far,0.0
policy,T4018,HR_L-near,0.0
policy,T4018,HR_L-far,0.0
policy,T4138,HR_S-near,0.0
policy,T4138,HR_S-far,0.0
policy,T4138,HR_M-near,0.0
policy,T4138,HR_M-far,0.0
policy,T4138,HR_L-near,0.0
policy,T4138,HR_L-far,0.0
policy,T4258,HR_S-near,0.0
policy,T4258,HR_S-far,0.0
policy,T4258,HR_M-near,0.0
policy,T4258,HR_M-far,0.0
policy,T4258,HR_L-near,0.0
policy,T4258,HR_L-far,0.0
policy,T4378,HR_S-near,0.0
policy,T4378,HR_S-far,0.0
policy,T4378,HR_M-near,0.0
policy,T4378,HR_M-far,0.0
policy,T4378,HR_L-near,3.38741349040631
policy,T4378,HR_L-far,3.3412848804824833
policy,T4498,HR_S-near,0.0
policy,T4498,HR_S-far,0.0
policy,T4498,HR_M-near,0.0
policy,T4498,HR_M-far,0.0
policy,T4498,HR_L-near,0.0
policy,T4498,HR_L-far,0.0
policy,T4618,HR_S-near,0.0
policy,T4618,HR_S-far,0.0
policy,T4618,HR_M-near,0.0
policy,T4618,HR_M-far,0.0
policy,T4618,HR_L-near,0.13785673962406275
policy,T4618,HR_L-far,0.0
policy,T4738,HR_S-near,0.0
policy,T4738,HR_S-far,0.0
policy,T4738,HR_M-near,0.0
policy,T4738,HR_M-far,0.0
policy,T4738,HR_L-near,0.031096478043714626
policy,T4738,HR_L-far,0.0
policy,T4858,HR_S-near,0.0
policy,T4858,HR_S-far,0.0
policy,T4858,HR_M-near,0.0
policy,T4858,HR_M-far,0.0
policy,T4858,HR_L-near,0.0
policy,T4858,HR_L-far,0.0
policy,T4978,HR_S-near,0.0
policy,T4978,HR_S-far,0.0
policy,T4978,HR_M-near,0.0
policy,T4978,HR_M-far,0.0
policy,T4978,HR_L-near,0.0
policy,T4978,HR_L-far,0.0
policy,T5098,HR_S-near,0.0
policy,T5098,HR_S-far,0.0
policy,T5098,HR_M-near,0.0
policy,T5098,HR_M-far,0.0
policy,T5098,HR_L-near,0.0
policy,T5098,HR_L-far,0.0
policy,T5218,HR_S-near,0.0
policy,T5218,HR_S-far,0.0
policy,T5218,HR_M-near,0.0
policy,T5218,HR_M-far,0.0
policy,T5218,HR_L-near,0.0
policy,T5218,HR_L-far,0.0
policy,T5338,HR_S-near,0.0
policy,T5338,HR_S-far,0.0
policy,T5338,HR_M-near,0.0
policy,T5338,HR_M-far,0.0
policy,T5338,HR_L-near,0.0
policy,T5338,HR_L-far,0.0
policy,T5458,HR_S-near,0.0
policy,T5458,HR_S-far,0.0
policy,T5458,HR_M-near,0.0
policy,T5458,HR_M-far,0.0
policy,T5458,HR_L-near,0.0
policy,T5458,HR_L-far,0.0
policy,T5578,HR_S-near,0.0
policy,T5578,HR_S-far,0.0
policy,T5578,HR_M-near,0.0
policy,T5578,HR_M-far,0.0
policy,T5578,HR_L-near,0.0
policy,T5578,HR_L-far,0.0
policy,T5698,HR_S-near,0.0
policy,T5698,HR_S-far,0.0
policy,T5698,HR_M-near,0.0
policy,T5698,HR_M-far,0.0
policy,T5698,HR_L-near,0.0
policy,T5698,HR_L-far,0.0
policy,T5818,HR_S-near,0.0
policy,T5818,HR_S-far,0.0
policy,T5818,HR_M-near,0.0
policy,T5818,HR_M-far,0.0
policy,T5818,HR_L-near,0.0
policy,T5818,HR_L-far,0.0
policy,T5938,HR_S-near,0.0
policy,T5938,HR_S-far,0.0
policy,T5938,HR_M-near,0.0
policy,T5938,HR_M-far,0.0
policy,T5938,HR_L-near,0.0
policy,T5938,HR_L-far,0.0
policy,T6058,HR_S-near,0.0
policy,T6058,HR_S-far,0.0
policy,T6058,HR_M-near,0.0
policy,T6058,HR_M-far,0.0
policy,T6058,HR_L-near,0.0
policy,T6058,HR_L-far,0.0
policy,T6178,HR_S-near,0.0
policy,T6178,HR_S-far,0.0
policy,T6178,HR_M-near,0.0
policy,T6178,HR_M-far,0.0
policy,T6178,HR_L-near,0.0
policy,T6178,HR_L-far,0.0
policy,T6298,HR_S-near,0.0
policy,T6298,HR_S-far,0.0
policy,T6298,HR_M-near,0.0
policy,T6298,HR_M-far,0.0
policy,T6298,HR_L-near,39.27915607659349
policy,T6298,HR_L-far,38.96063462682775
policy,T6418,HR_S-near,0.0
policy,T6418,HR_S-far,0.0
policy,T6418,HR_M-near,0.0
policy,T6418,HR_M-far,0.0
policy,T6418,HR_L-near,0.03588362219876351
