,CHP_biofuel,CHP_coal,CHP_muniwaste,CHP_natgas,CHP_straw,CHP_w-chip,CHP_w-pellet,CHP_w-waste,FF_solar,FF_industry,HOB_biofuel,HOB_elec,HOB_gasoil,HOB_muniwaste,HOB_natgas,HOB_straw,HOB_w-chip,HOB_w-pellet,HOB_w-waste,HP_ambient,HP_industry,HR_S-near,HR_S-far,HR_M-near,HR_M-far,HR_L-near,HR_L-far
T0061,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.421,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0062,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.428,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0063,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.41,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0064,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.364,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0065,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.307,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0066,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.274,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0067,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.268,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0068,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.252,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0069,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.245,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0070,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.258,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0071,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.268,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0072,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.307,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0073,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.343,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0074,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.354,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0075,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.347,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0076,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.35,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0077,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.357,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0078,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.361,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0079,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.364,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0080,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.364,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0081,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.361,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0082,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.364,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0083,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.378,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0084,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.389,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0085,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.436,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0086,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.477,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0087,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.485,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0088,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.496,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0089,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.492,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0090,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.496,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0091,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.496,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0092,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.492,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0093,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.481,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0094,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.485,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0095,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.485,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0096,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.485,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0097,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.473,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0098,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.462,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0099,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.451,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0100,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.439,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0101,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.432,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0102,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.382,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0103,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.343,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0104,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.316,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0105,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.31,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0106,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.316,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0107,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.327,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0108,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.333,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0109,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.32,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0110,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.313,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0111,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.323,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0112,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.316,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0113,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.307,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0114,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.297,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0115,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.3,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0116,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.284,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0117,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.281,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0118,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.278,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0119,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.278,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0120,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.268,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0121,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.258,2.828,2.98,2.98,3.34,3.34,3.697,3.697
