timestep,HP_ambient,HP_industry,HR_small,HR_medium,HR_large
T0199,2.372,2.828,2.98,3.34,3.697
T0200,2.375,2.828,2.98,3.34,3.697
T0201,2.358,2.828,2.98,3.34,3.697
T0202,2.358,2.828,2.98,3.34,3.697
T0203,2.351,2.828,2.98,3.34,3.697
T0204,2.365,2.828,2.98,3.34,3.697
T0205,2.368,2.828,2.98,3.34,3.697
T0206,2.358,2.828,2.98,3.34,3.697
T0207,2.354,2.828,2.98,3.34,3.697
T0208,2.354,2.828,2.98,3.34,3.697
T0209,2.351,2.828,2.98,3.34,3.697
T0210,2.337,2.828,2.98,3.34,3.697
T0211,2.358,2.828,2.98,3.34,3.697
T0212,2.351,2.828,2.98,3.34,3.697
T0213,2.314,2.828,2.98,3.34,3.697
T0214,2.33,2.828,2.98,3.34,3.697
T0215,2.317,2.828,2.98,3.34,3.697
T0216,2.31,2.828,2.98,3.34,3.697
T0217,2.307,2.828,2.98,3.34,3.697
T0218,2.294,2.828,2.98,3.34,3.697
T0219,2.337,2.828,2.98,3.34,3.697
T0220,2.344,2.828,2.98,3.34,3.697
T0221,2.354,2.828,2.98,3.34,3.697
T0222,2.354,2.828,2.98,3.34,3.697
T0223,2.361,2.828,2.98,3.34,3.697
T0224,2.358,2.828,2.98,3.34,3.697
T0225,2.358,2.828,2.98,3.34,3.697
T0226,2.368,2.828,2.98,3.34,3.697
T0227,2.379,2.828,2.98,3.34,3.697
T0228,2.403,2.828,2.98,3.34,3.697
T0229,2.407,2.828,2.98,3.34,3.697
T0230,2.4,2.828,2.98,3.34,3.697
T0231,2.379,2.828,2.98,3.34,3.697
T0232,2.368,2.828,2.98,3.34,3.697
T0233,2.358,2.828,2.98,3.34,3.697
T0234,2.358,2.828,2.98,3.34,3.697
T0235,2.358,2.828,2.98,3.34,3.697
T0236,2.361,2.828,2.98,3.34,3.697
T0237,2.365,2.828,2.98,3.34,3.697
T0238,2.351,2.828,2.98,3.34,3.697
T0239,2.354,2.828,2.98,3.34,3.697
T0240,2.361,2.828,2.98,3.34,3.697
T0241,2.361,2.828,2.98,3.34,3.697
T0242,2.358,2.828,2.98,3.34,3.697
T0243,2.347,2.828,2.98,3.34,3.697
T0244,2.341,2.828,2.98,3.34,3.697
T0245,2.341,2.828,2.98,3.34,3.697
T0246,2.347,2.828,2.98,3.34,3.697
T0247,2.358,2.828,2.98,3.34,3.697
T0248,2.368,2.828,2.98,3.34,3.697
T0249,2.379,2.828,2.98,3.34,3.697
T0250,2.396,2.828,2.98,3.34,3.697
T0251,2.418,2.828,2.98,3.34,3.697
T0252,2.432,2.828,2.98,3.34,3.697
T0253,2.432,2.828,2.98,3.34,3.697
T0254,2.443,2.828,2.98,3.34,3.697
T0255,2.447,2.828,2.98,3.34,3.697
T0256,2.432,2.828,2.98,3.34,3.697
T0257,2.414,2.828,2.98,3.34,3.697
T0258,2.386,2.828,2.98,3.34,3.697
T0259,2.365,2.828,2.98,3.34,3.697
T0260,2.372,2.828,2.98,3.34,3.697
T0261,2.375,2.828,2.98,3.34,3.697
T0262,2.389,2.828,2.98,3.34,3.697
T0263,2.379,2.828,2.98,3.34,3.697
T0264,2.368,2.828,2.98,3.34,3.697
T0265,2.361,2.828,2.98,3.34,3.697
T0266,2.372,2.828,2.98,3.34,3.697
T0267,2.372,2.828,2.98,3.34,3.697
T0268,2.379,2.828,2.98,3.34,3.697
T0269,2.372,2.828,2.98,3.34,3.697
T0270,2.365,2.828,2.98,3.34,3.697
T0271,2.375,2.828,2.98,3.34,3.697
T0272,2.372,2.828,2.98,3.34,3.697
T0273,2.365,2.828,2.98,3.34,3.697
T0274,2.375,2.828,2.98,3.34,3.697
T0275,2.382,2.828,2.98,3.34,3.697
T0276,2.382,2.828,2.98,3.34,3.697
T0277,2.386,2.828,2.98,3.34,3.697
T0278,2.396,2.828,2.98,3.34,3.697
T0279,2.432,2.828,2.98,3.34,3.697
T0280,2.458,2.828,2.98,3.34,3.697
T0281,2.455,2.828,2.98,3.34,3.697
T0282,2.425,2.828,2.98,3.34,3.697
T0283,2.411,2.828,2.98,3.34,3.697
T0284,2.403,2.828,2.98,3.34,3.697
T0285,2.361,2.828,2.98,3.34,3.697
T0286,2.354,2.828,2.98,3.34,3.697
T0287,2.386,2.828,2.98,3.34,3.697
T0288,2.389,2.828,2.98,3.34,3.697
T0289,2.4,2.828,2.98,3.34,3.697
T0290,2.425,2.828,2.98,3.34,3.697
T0291,2.455,2.828,2.98,3.34,3.697
T0292,2.455,2.828,2.98,3.34,3.697
T0293,2.429,2.828,2.98,3.34,3.697
T0294,2.407,2.828,2.98,3.34,3.697
T0295,2.386,2.828,2.98,3.34,3.697
T0296,2.379,2.828,2.98,3.34,3.697
T0297,2.382,2.828,2.98,3.34,3.697
T0298,2.389,2.828,2.98,3.34,3.697
T0299,2.418,2.828,2.98,3.34,3.697
T0300,2.418,2.828,2.98,3.34,3.697
T0301,2.411,2.828,2.98,3.34,3.697
T0302,2.414,2.828,2.98,3.34,3.697
T0303,2.411,2.828,2.98,3.34,3.697
T0304,2.4,2.828,2.98,3.34,3.697
T0305,2.403,2.828,2.98,3.34,3.697
T0306,2.414,2.828,2.98,3.34,3.697
T0307,2.411,2.828,2.98,3.34,3.697
T0308,2.414,2.828,2.98,3.34,3.697
T0309,2.411,2.828,2.98,3.34,3.697
T0310,2.407,2.828,2.98,3.34,3.697
T0311,2.4,2.828,2.98,3.34,3.697
T0312,2.4,2.828,2.98,3.34,3.697
T0313,2.407,2.828,2.98,3.34,3.697
T0314,2.403,2.828,2.98,3.34,3.697
T0315,2.393,2.828,2.98,3.34,3.697
T0316,2.382,2.828,2.98,3.34,3.697
T0317,2.379,2.828,2.98,3.34,3.697
T0318,2.379,2.828,2.98,3.34,3.697
T0319,2.382,2.828,2.98,3.34,3.697
T0320,2.379,2.828,2.98,3.34,3.697
T0321,2.372,2.828,2.98,3.34,3.697
T0322,2.382,2.828,2.98,3.34,3.697
T0323,2.403,2.828,2.98,3.34,3.697
T0324,2.403,2.828,2.98,3.34,3.697
T0325,2.4,2.828,2.98,3.34,3.697
T0326,2.393,2.828,2.98,3.34,3.697
T0327,2.379,2.828,2.98,3.34,3.697
T0328,2.368,2.828,2.98,3.34,3.697
T0329,2.372,2.828,2.98,3.34,3.697
T0330,2.372,2.828,2.98,3.34,3.697
T0331,2.361,2.828,2.98,3.34,3.697
T0332,2.361,2.828,2.98,3.34,3.697
T0333,2.372,2.828,2.98,3.34,3.697
T0334,2.379,2.828,2.98,3.34,3.697
T0335,2.393,2.828,2.98,3.34,3.697
T0336,2.4,2.828,2.98,3.34,3.697
T0337,2.432,2.828,2.98,3.34,3.697
T0338,2.4,2.828,2.98,3.34,3.697
T0339,2.368,2.828,2.98,3.34,3.697
T0340,2.361,2.828,2.98,3.34,3.697
T0341,2.361,2.828,2.98,3.34,3.697
T0342,2.365,2.828,2.98,3.34,3.697
T0343,2.358,2.828,2.98,3.34,3.697
T0344,2.361,2.828,2.98,3.34,3.697
T0345,2.368,2.828,2.98,3.34,3.697
T0346,2.365,2.828,2.98,3.34,3.697
T0347,2.375,2.828,2.98,3.34,3.697
T0348,2.386,2.828,2.98,3.34,3.697
T0349,2.393,2.828,2.98,3.34,3.697
T0350,2.386,2.828,2.98,3.34,3.697
T0351,2.379,2.828,2.98,3.34,3.697
T0352,2.375,2.828,2.98,3.34,3.697
T0353,2.358,2.828,2.98,3.34,3.697
T0354,2.334,2.828,2.98,3.34,3.697
T0355,2.341,2.828,2.98,3.34,3.697
T0356,2.358,2.828,2.98,3.34,3.697
T0357,2.368,2.828,2.98,3.34,3.697
T0358,2.358,2.828,2.98,3.34,3.697
T0359,2.365,2.828,2.98,3.34,3.697
T0360,2.365,2.828,2.98,3.34,3.697
T0361,2.347,2.828,2.98,3.34,3.697
T0362,2.344,2.828,2.98,3.34,3.697
T0363,2.334,2.828,2.98,3.34,3.697
T0364,2.324,2.828,2.98,3.34,3.697
T0365,2.314,2.828,2.98,3.34,3.697
T0366,2.307,2.828,2.98,3.34,3.697
